"公司代號","公司簡稱","財務結構-負債佔資產比率(%)","財務結構-長期資金佔不動產、廠房及設備比率(%)","償債能力-流動比率(%)","償債能力-速動比率(%)","償債能力-利息保障倍數(%)","經營能力-應收款項週轉率(次)","經營能力-平均收現日數","經營能力-存貨週轉率(次)","經營能力-平均售貨日數","經營能力-不動產、廠房及設備週轉率(次)","經營能力-總資產週轉率(次)","獲利能力-資產報酬率(%)","獲利能力-權益報酬率(%)","獲利能力-稅前純益佔實收資本比率(%)","獲利能力-純益率(%)","獲利能力-每股盈餘(元)","現金流量-現金流量比率(%)","現金流量-現金流量允當比率(%)","現金流量-現金再投<br>資比率(%)"
"3622","洋華",10.02,678.78,1177.64,1110.49,12973.71,5.62,64.94,2.94,124.14,1.78,0.25,7.08,7.61,29.73,28.07,2.75,119.86,91.91,2.78
"3645","達邁",41.73,127.85,206.21,104.69,516.73,4.70,77.65,2.37,154.00,0.54,0.35,3.04,4.59,9.79,7.21,1.13,49.94,64.33,3.17
"3652","精聯",27.15,540.00,354.77,257.77,75.35,4.78,76.35,3.45,105.79,6.54,0.98,3.85,5.13,15.20,3.89,1.22,36.78,126.13,7.23
"3653","健策",33.71,240.45,213.48,139.76,89.19,4.82,75.72,2.57,142.02,2.64,0.82,18.34,28.76,248.90,22.08,19.54,61.61,74.96,13.35
"3661","世芯-KY",34.13,1846.88,276.05,127.49,831.93,10.83,33.70,1.79,203.91,17.21,0.83,11.13,15.70,331.32,13.36,25.69,-3.72,43.85,-5.43
"3665","貿聯-KY",57.89,385.15,236.66,142.87,1134.06,6.23,58.58,3.90,93.58,7.59,1.36,10.99,20.35,338.31,7.13,25.02,20.18,55.78,3.74
"3669","圓展",30.72,231.31,193.00,136.88,40.91,10.28,35.50,2.13,171.36,2.40,0.72,8.22,11.49,38.03,11.06,3.58,48.93,108.10,6.38
"3673","TPK-KY",55.30,326.24,209.04,173.80,2.46,7.02,51.99,8.76,41.66,5.57,1.20,1.21,1.60,30.98,0.60,1.34,15.94,1.08,3.74
"3679","新至陞",47.78,454.48,256.24,234.68,28.00,3.09,118.12,6.16,59.25,2.74,0.43,8.20,15.66,152.30,18.07,11.32,58.61,149.45,7.71
"3686","達能",1.23,446275.76,9628.29,9623.06,-367.61,1.32,276.51,"*****","*****",645.49,0.06,-3.98,-4.11,-4.03,-69.44,-0.40,-1658.16,0.00,0.00
